Power_Bias X,Power_Bias Y
8.849999999999969e-08,0.00018
8.862499999999968e-08,0.00018
8.874999999999968e-08,0.00018
8.887499999999968e-08,0.00018
8.899999999999967e-08,0.00018
8.912499999999967e-08,0.00018
8.924999999999966e-08,0.00018
8.937499999999966e-08,0.00018
8.949999999999966e-08,0.00018
8.962499999999965e-08,0.00018
8.974999999999965e-08,0.00018
8.987499999999966e-08,0.00018
8.999999999999964e-08,0.00018
9.012499999999964e-08,0.00018
9.024999999999963e-08,0.00018
9.037499999999963e-08,0.00018
9.049999999999963e-08,0.00018
9.062499999999962e-08,0.00018
9.074999999999962e-08,0.00018
9.087499999999961e-08,0.00018
9.099999999999961e-08,0.00018
9.112499999999961e-08,0.00018
9.12499999999996e-08,0.00018
9.13749999999996e-08,0.00018
9.14999999999996e-08,0.00018
9.162499999999959e-08,0.00018
9.174999999999959e-08,0.00018
9.18749999999996e-08,0.00018
